AST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-5-21,32,29,26,25,24,23,84,76,60,1013,1011,1009,26,13,10,47,34,61,0.00,1,,81
2015-5-22,32,29,27,25,24,23,84,76,63,1015,1014,1012,19,11,9,40,34,58,0.00,2,,82
2015-5-23,32,29,27,25,24,23,84,74,62,1016,1014,1012,19,11,9,45,37,60,0.00,2,,82
2015-5-24,32,29,27,25,24,23,84,74,60,1014,1013,1011,14,10,10,47,39,66,0.00,2,,80
2015-5-25,32,29,27,24,23,22,79,71,54,1014,1013,1011,14,10,10,45,34,63,0.00,2,,80
2015-5-26,32,29,26,24,23,23,84,73,54,1014,1013,1010,26,13,10,37,29,52,0.00,1,,80
2015-5-27,32,29,26,24,23,23,79,72,56,1012,1011,1009,26,13,10,39,31,53,0.00,2,,80
2015-5-28,31,29,27,25,24,23,84,75,60,1012,1011,1009,31,15,10,35,31,52,0.00,3,,79
2015-5-29,31,29,27,25,24,23,89,79,66,1013,1011,1009,31,13,10,35,29,,0.00,2,,92
2015-5-30,31,28,25,25,24,24,89,81,66,1013,1011,1009,26,11,5,39,29,58,0.00,3,,73
2015-5-31,31,29,27,26,24,24,84,77,64,1013,1011,1009,26,13,10,47,34,61,0.00,1,,82
2015-6-1,32,29,27,25,24,24,84,76,61,1014,1012,1009,19,12,10,42,35,61,0.00,2,,88
2015-6-2,32,29,27,25,24,24,84,76,57,1013,1010,1007,26,14,10,47,37,69,0.00,2,,82
2015-6-3,32,29,27,26,24,24,89,78,63,1011,1010,1006,26,14,10,47,35,69,0.00,2,,85
2015-6-4,32,29,27,26,25,24,89,78,62,1012,1010,1007,26,13,10,50,37,71,0.00,2,,81
2015-6-5,32,29,27,26,25,24,84,77,63,1013,1011,1008,26,13,10,42,34,60,0.00,2,,87
2015-6-6,33,30,27,26,25,24,89,78,59,1012,1010,1007,26,14,10,47,32,61,0.00,2,,83
2015-6-7,32,29,27,26,25,24,89,76,60,1013,1011,1009,26,13,10,45,32,66,0.00,3,,87
2015-6-8,32,29,27,25,24,23,84,76,61,1014,1012,1011,18,11,10,40,32,53,0.00,2,,85
2015-6-9,32,29,26,27,24,23,100,75,59,1014,1012,1010,19,12,10,40,32,60,0.00,2,,82
2015-6-10,32,29,27,25,24,23,84,75,58,1013,1012,1010,26,13,10,37,29,47,0.00,2,,80
2015-6-11,32,29,26,26,24,23,84,76,64,1014,1012,1010,31,15,10,47,34,69,0.00,2,,82
2015-6-12,32,29,27,26,24,23,84,77,61,1014,1012,1011,31,15,10,45,35,64,0.00,2,,85
2015-6-13,32,29,27,26,24,24,84,75,59,1014,1012,1010,31,13,10,148,39,58,0.00,2,,81
