CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-6-2,25,17,9,11,9,7,100,59,23,1017,1013,1011,31,11,6,40,16,48,0.00,5,Fog-Rain,201
2015-6-3,22,18,14,13,9,4,68,50,27,1026,1017,1013,31,12,10,35,18,50,0.00,5,,265
2015-6-4,22,14,6,8,4,1,87,49,16,1030,1028,1026,31,11,10,13,6,,0.00,1,Fog,319
2015-6-5,29,20,12,6,4,2,62,33,12,1028,1024,1019,10,10,10,26,14,45,0.00,1,,114
2015-6-6,31,24,18,16,11,6,68,41,23,1025,1020,1018,31,26,10,26,14,,0.00,4,,231
2015-6-7,23,19,14,13,4,1,68,35,17,1029,1027,1025,26,18,10,14,8,,0.00,6,,340
2015-6-8,20,16,11,8,6,2,72,49,21,1029,1027,1025,10,10,10,18,11,,0.00,6,,6
2015-6-9,20,14,9,9,4,1,82,49,21,1028,1027,1026,10,10,10,16,10,,0.00,3,,24
2015-6-10,21,17,12,8,6,0,72,46,24,1029,1027,1024,26,22,10,14,8,,0.00,2,,22
2015-6-11,24,16,8,4,1,-2,66,31,10,1026,1022,1018,,,,13,6,,0.00,,,63
2015-6-12,27,21,16,11,8,3,68,42,21,1019,1014,1010,31,19,10,14,10,,0.00,4,Rain,80
2015-6-13,30,23,17,20,16,11,100,67,26,1011,1009,1006,31,16,6,37,10,58,8.89,6,Rain-Thunderstorm,131
2015-6-14,19,17,15,17,14,12,100,77,59,1011,1009,1008,31,14,5,27,13,,0.00,5,Fog,283
2015-6-15,19,16,12,13,6,1,82,51,20,1021,1016,1011,27,11,10,23,13,,0.00,4,,332
2015-6-16,15,11,7,8,5,3,93,60,35,1023,1022,1021,10,10,10,18,8,,0.00,6,Rain,302
2015-6-17,21,13,5,8,5,1,100,57,17,1025,1022,1016,31,11,10,23,8,,0.51,5,Rain,259
2015-6-18,21,17,12,14,10,7,100,69,34,1016,1012,1010,31,10,5,24,14,,0.00,6,Rain,275
2015-6-19,17,14,11,11,7,6,82,66,43,1014,1013,1012,26,11,10,32,19,,0.25,5,Rain,275
2015-6-20,17,13,11,13,10,8,94,83,62,1017,1015,1013,31,13,8,21,16,,2.03,6,Rain,278
